REG_ID,Region,Indicator,Value
DE5,Bremen ,Share of Foreign-Born Population,20.7
DE6,Hamburg,Share of Foreign-Born Population,19.6
DE7,Hesse,Share of Foreign-Born Population,19.8
DE8,Mecklenburg-Vorpommern,Share of Foreign-Born Population,8.4
DE9,Lower Saxony ,Share of Foreign-Born Population,14
DEA,North Rhine-Westphalia,Share of Foreign-Born Population,16.7
ME31,Yucatan,Share of Foreign-Born Population,0.3
ME32,Zacatecas,Share of Foreign-Born Population,0.5
AUS,Australia,Share of Foreign-Born Population,31.1
AU1,New South Wales,Share of Foreign-Born Population,32.9
AU2,Victoria,Share of Foreign-Born Population,32.8
AU3,Queensland,Share of Foreign-Born Population,25.5
AU4,South Australia,Share of Foreign-Born Population,26.3
AU5,Western Australia,Share of Foreign-Born Population,39.3
AU6,Tasmania,Share of Foreign-Born Population,12.5
AU7,Northern Territory,Share of Foreign-Born Population,28.6
AU8,Australian Capital Territory,Share of Foreign-Born Population,29.9
AUT,Austria,Share of Foreign-Born Population,16.5
AT11,Burgenland,Share of Foreign-Born Population,20.9
AT12,Lower Austria,Share of Foreign-Born Population,20.9
AT13,Vienna,Share of Foreign-Born Population,20.9
AT21,Carinthia,Share of Foreign-Born Population,10.1
AT22,Styria,Share of Foreign-Born Population,10.1
AT31,Upper Austria,Share of Foreign-Born Population,14.9
AT32,Salzburg,Share of Foreign-Born Population,14.9
AT33,Tyrol,Share of Foreign-Born Population,14.9
AT34,Vorarlberg,Share of Foreign-Born Population,14.9
BEL,Belgium,Share of Foreign-Born Population,14.5
BE1,Brussels Capital Region,Share of Foreign-Born Population,43
BE2,Flemish Region,Share of Foreign-Born Population,9.9
BE3,Wallonia,Share of Foreign-Born Population,13.4
DEB,Rhineland-Palatinate,Share of Foreign-Born Population,14.2
DEC,Saarland,Share of Foreign-Born Population,12.2
DED,Saxony,Share of Foreign-Born Population,6.3
DEE,Saxony-Anhalt,Share of Foreign-Born Population,6.4
DEF,Schleswig-Holstein,Share of Foreign-Born Population,11.3
DEG,Thuringia,Share of Foreign-Born Population,5.9
GRC,Greece,Share of Foreign-Born Population,6.4
NOR,Norway,Share of Foreign-Born Population,13.4
NO01,Oslo and Akershus,Share of Foreign-Born Population,20.9
NO02,Hedmark and Oppland,Share of Foreign-Born Population,8
NO03,South-Eastern Norway,Share of Foreign-Born Population,12.6
NO04,Agder and Rogaland,Share of Foreign-Born Population,12.8
NO05,Western Norway,Share of Foreign-Born Population,11.4
NO06,Trøndelag,Share of Foreign-Born Population,8.7
NO07,Northern Norway,Share of Foreign-Born Population,8.6
POL,Poland,Share of Foreign-Born Population,0.7
PL11,Lodzkie,Share of Foreign-Born Population,0.4
PL12,Mazovia,Share of Foreign-Born Population,0.7
PL21,Lesser Poland ,Share of Foreign-Born Population,0.3
PL22,Silesia,Share of Foreign-Born Population,0.4
PL31,Lublin Province ,Share of Foreign-Born Population,0.4
PL32,Podkarpacia,Share of Foreign-Born Population,0.4
PL34,Podlasie,Share of Foreign-Born Population,0.5
PL41,Greater Poland,Share of Foreign-Born Population,0.4
PL42,West Pomerania,Share of Foreign-Born Population,1.5
PL43,Lubusz,Share of Foreign-Born Population,1.8
PL51,Lower Silesia ,Share of Foreign-Born Population,2.1
PL52,Opole region,Share of Foreign-Born Population,2.4
PL61,Kuyavian-Pomerania,Share of Foreign-Born Population,0.3
PL62,Warmian-Masuria,Share of Foreign-Born Population,0.8
PL63,Pomerania,Share of Foreign-Born Population,0.7
PRT,Portugal,Share of Foreign-Born Population,6.8
PT11,North,Share of Foreign-Born Population,4.6
CAN,Canada,Share of Foreign-Born Population,24.5
CA12,Nova Scotia,Share of Foreign-Born Population,6.1
CA13,New Brunswick,Share of Foreign-Born Population,4.3
CA24,Quebec,Share of Foreign-Born Population,15
EL30,Attica,Share of Foreign-Born Population,9.1
EL41,North Aegean,Share of Foreign-Born Population,3.7
EL42,South Aegean,Share of Foreign-Born Population,8.2
EL43,Crete,Share of Foreign-Born Population,6.3
EL51,"Eastern Macedonia, Thrace",Share of Foreign-Born Population,4.5
EL52,Central Macedonia,Share of Foreign-Born Population,5.7
EL53,Western Macedonia,Share of Foreign-Born Population,2.6
EL54,Epirus,Share of Foreign-Born Population,3.9
EL61,Thessaly,Share of Foreign-Born Population,3.5
EL62,Ionian Islands,Share of Foreign-Born Population,4
EL63,Western Greece,Share of Foreign-Born Population,3.1
EL64,Central Greece,Share of Foreign-Born Population,4.7
EL65,Peloponnese,Share of Foreign-Born Population,6.6
HUN,Hungary,Share of Foreign-Born Population,1.8
HU10,Central Hungary,Share of Foreign-Born Population,2.8
HU21,Central Transdanubia,Share of Foreign-Born Population,1.5
HU22,Western Transdanubia,Share of Foreign-Born Population,1
HU23,Southern Transdanubia,Share of Foreign-Born Population,2.1
HU31,Northern Hungary,Share of Foreign-Born Population,0.8
HU32,Northern Great Plain,Share of Foreign-Born Population,1.4
HU33,Southern Great Plain,Share of Foreign-Born Population,1.5
IRL,Ireland,Share of Foreign-Born Population,16.7
IE01,"Border, Midland and Western",Share of Foreign-Born Population,15.6
IE02,Southern and Eastern,Share of Foreign-Born Population,17.1
ITA,Italy,Share of Foreign-Born Population,9.4
ITC1,Piedmont,Share of Foreign-Born Population,10.5
ITC2,Aosta Valley,Share of Foreign-Born Population,9.1
PT15,Algarve,Share of Foreign-Born Population,12
PT16,Central Portugal,Share of Foreign-Born Population,5.9
PT17,Metropolitan area of Lisbon,Share of Foreign-Born Population,10.8
PT18,Alentejo,Share of Foreign-Born Population,4
PT20,Azores,Share of Foreign-Born Population,3.1
PT30,Madeira,Share of Foreign-Born Population,6.2
SVK,Slovak Republic,Share of Foreign-Born Population,0.8
SK01,Bratislava Region,Share of Foreign-Born Population,1.9
SK02,West Slovakia,Share of Foreign-Born Population,0.7
SK03,Central Slovakia,Share of Foreign-Born Population,0.6
SK04,East Slovakia,Share of Foreign-Born Population,0.6
SVN,Slovenia,Share of Foreign-Born Population,8.8
SI03,Eastern Slovenia,Share of Foreign-Born Population,6.9
SI04,Western Slovenia,Share of Foreign-Born Population,11
ESP,Spain,Share of Foreign-Born Population,11.6
ES11,Galicia,Share of Foreign-Born Population,6.8
ES12,Asturias,Share of Foreign-Born Population,5.8
ES13,Cantabria,Share of Foreign-Born Population,7.1
ES21,Basque Country,Share of Foreign-Born Population,6.6
ES22,Navarra,Share of Foreign-Born Population,10.5
ES23,La Rioja,Share of Foreign-Born Population,12.8
ES24,Aragon,Share of Foreign-Born Population,12.6
ES30,Madrid,Share of Foreign-Born Population,14.4
ES41,Castile and León,Share of Foreign-Born Population,7.2
ES42,Castile-La Mancha,Share of Foreign-Born Population,9.7
ES43,Extremadura,Share of Foreign-Born Population,3.8
ES51,Catalonia,Share of Foreign-Born Population,14.1
CA35,Ontario,Share of Foreign-Born Population,33.4
CA46,Manitoba,Share of Foreign-Born Population,20.5
ITC3,Liguria,Share of Foreign-Born Population,10.1
ITC4,Lombardy,Share of Foreign-Born Population,11.6
ITF1,Abruzzo,Share of Foreign-Born Population,10.1
ITF2,Molise,Share of Foreign-Born Population,6.3
ITF3,Campania,Share of Foreign-Born Population,4.8
ITF4,Apulia,Share of Foreign-Born Population,4.5
ITF5,Basilicata ,Share of Foreign-Born Population,4.9
ITF6,Calabria,Share of Foreign-Born Population,6.8
