CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Inflow,Flag Codes,Flags
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2000,2000,13065,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2001,2001,12366,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2002,2002,5863,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2003,2003,4295,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2004,2004,3201,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2005,2005,3204,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2006,2006,3515,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2007,2007,3980,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2008,2008,4771,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2009,2009,6206,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2010,2010,8246,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2011,2011,11505,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2012,2012,15786,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2013,2013,11741,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2014,2014,8988,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2015,2015,12360,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2016,2016,27632,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2017,2017,36245,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2018,2018,28839,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUS,Australia,2019,2019,27399,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2000,2000,18284,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2001,2001,30135,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2002,2002,39354,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2003,2003,32359,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2004,2004,24634,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2005,2005,22461,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2006,2006,13349,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2007,2007,11921,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2008,2008,12841,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2009,2009,15821,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2010,2010,11012,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2011,2011,14416,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2012,2012,17413,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2013,2013,17503,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2014,2014,28060,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2015,2015,85620,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2016,2016,39952,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2017,2017,22470,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2018,2018,11610,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,AUT,Austria,2019,2019,10790,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2000,2000,42691,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2001,2001,24549,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2002,2002,18805,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2003,2003,16940,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2004,2004,15357,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2005,2005,15957,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2006,2006,11587,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2007,2007,11115,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2008,2008,12252,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2009,2009,17186,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2010,2010,21755,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2011,2011,26003,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2012,2012,18525,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2013,2013,12500,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2014,2014,13876,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2015,2015,38700,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2016,2016,14670,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2017,2017,14055,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2018,2018,18160,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,BEL,Belgium,2019,2019,23140,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2000,2000,34252,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2001,2001,44038,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2002,2002,39498,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2003,2003,31937,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2004,2004,25750,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2005,2005,20786,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2006,2006,22873,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2007,2007,28342,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2008,2008,34800,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2009,2009,33970,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2010,2010,22543,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2011,2011,24985,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2012,2012,20223,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2013,2013,10356,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2014,2014,13661,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2015,2015,16070,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2016,2016,23833,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2017,2017,49425,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2018,2018,55385,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CAN,Canada,2019,2019,58338,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2000,2000,8788,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2001,2001,18094,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2002,2002,8484,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2003,2003,11396,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2004,2004,5459,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2005,2005,4160,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2006,2006,3016,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2007,2007,1878,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2008,2008,1711,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2009,2009,1355,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2010,2010,979,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2011,2011,756,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2012,2012,753,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2013,2013,503,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2014,2014,914,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2015,2015,1250,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2016,2016,1214,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2017,2017,1140,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2018,2018,1360,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,CZE,Czech Republic,2019,2019,1575,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DNK,Denmark,2000,2000,13005,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DNK,Denmark,2001,2001,10269,,
