LOCATION,Country,SEX,Sex,AGE,Age,TIME,Time,Population,Flag Codes,Flags
AUS,Australia,T,Total,TOTAL,Total,2005,2005,20176844,,
AUS,Australia,T,Total,TOTAL,Total,2006,2006,20450966,,
AUS,Australia,T,Total,TOTAL,Total,2007,2007,20827622,,
AUS,Australia,T,Total,TOTAL,Total,2008,2008,21249199,,
AUS,Australia,T,Total,TOTAL,Total,2009,2009,21691653,,
AUS,Australia,T,Total,TOTAL,Total,2010,2010,22031750,,
AUS,Australia,T,Total,TOTAL,Total,2011,2011,22340024,,
AUS,Australia,T,Total,TOTAL,Total,2012,2012,22733465,,
AUS,Australia,T,Total,TOTAL,Total,2013,2013,23128129,,
AUS,Australia,T,Total,TOTAL,Total,2014,2014,23475686,,
AUS,Australia,T,Total,TOTAL,Total,2015,2015,23815995,,
AUS,Australia,T,Total,TOTAL,Total,2016,2016,24190907,,
AUS,Australia,T,Total,TOTAL,Total,2017,2017,24601860,,
AUS,Australia,T,Total,TOTAL,Total,2018,2018,24982688,,
AUS,Australia,T,Total,TOTAL,Total,2019,2019,25365745,,
AUS,Australia,T,Total,TOTAL,Total,2020,2020,25698093,,
AUT,Austria,T,Total,TOTAL,Total,2005,2005,8225278,,
AUT,Austria,T,Total,TOTAL,Total,2006,2006,8267948,,
AUT,Austria,T,Total,TOTAL,Total,2007,2007,8295189,,
AUT,Austria,T,Total,TOTAL,Total,2008,2008,8321541,,
AUT,Austria,T,Total,TOTAL,Total,2009,2009,8341483,,
AUT,Austria,T,Total,TOTAL,Total,2010,2010,8361069,,
AUT,Austria,T,Total,TOTAL,Total,2011,2011,8388534,,
AUT,Austria,T,Total,TOTAL,Total,2012,2012,8426311,,
AUT,Austria,T,Total,TOTAL,Total,2013,2013,8477230,,
AUT,Austria,T,Total,TOTAL,Total,2014,2014,8543932,,
AUT,Austria,T,Total,TOTAL,Total,2015,2015,8629519,,
AUT,Austria,T,Total,TOTAL,Total,2016,2016,8739806,,
AUT,Austria,T,Total,TOTAL,Total,2017,2017,8795073,,
AUT,Austria,T,Total,TOTAL,Total,2018,2018,8837707,,
AUT,Austria,T,Total,TOTAL,Total,2019,2019,8877637,,
AUT,Austria,T,Total,TOTAL,Total,2020,2020,8916845,,
BEL,Belgium,T,Total,TOTAL,Total,2005,2005,10478617,,
BEL,Belgium,T,Total,TOTAL,Total,2006,2006,10547956,,
BEL,Belgium,T,Total,TOTAL,Total,2007,2007,10625701,,
BEL,Belgium,T,Total,TOTAL,Total,2008,2008,10709976,,
BEL,Belgium,T,Total,TOTAL,Total,2009,2009,10796498,,
BEL,Belgium,T,Total,TOTAL,Total,2010,2010,10895589,,
BEL,Belgium,T,Total,TOTAL,Total,2011,2011,10993616,,
BEL,Belgium,T,Total,TOTAL,Total,2012,2012,11067748,,
BEL,Belgium,T,Total,TOTAL,Total,2013,2013,11125033,,
BEL,Belgium,T,Total,TOTAL,Total,2014,2014,11179778,,
BEL,Belgium,T,Total,TOTAL,Total,2015,2015,11238474,,
BEL,Belgium,T,Total,TOTAL,Total,2016,2016,11295003,,
BEL,Belgium,T,Total,TOTAL,Total,2017,2017,11349081,,
BEL,Belgium,T,Total,TOTAL,Total,2018,2018,11403740,,
BEL,Belgium,T,Total,TOTAL,Total,2019,2019,11462023,,
BEL,Belgium,T,Total,TOTAL,Total,2020,2020,11506938,,
CAN,Canada,T,Total,TOTAL,Total,2005,2005,32243753,,
CAN,Canada,T,Total,TOTAL,Total,2006,2006,32571174,,
CAN,Canada,T,Total,TOTAL,Total,2007,2007,32889025,,
CAN,Canada,T,Total,TOTAL,Total,2008,2008,33247118,,
CAN,Canada,T,Total,TOTAL,Total,2009,2009,33628895,,
CAN,Canada,T,Total,TOTAL,Total,2010,2010,34004889,,
CAN,Canada,T,Total,TOTAL,Total,2011,2011,34339328,,
CAN,Canada,T,Total,TOTAL,Total,2012,2012,34714222,,
CAN,Canada,T,Total,TOTAL,Total,2013,2013,35082954,,
CAN,Canada,T,Total,TOTAL,Total,2014,2014,35437435,,
CAN,Canada,T,Total,TOTAL,Total,2015,2015,35702908,,
CAN,Canada,T,Total,TOTAL,Total,2016,2016,36109487,,
CAN,Canada,T,Total,TOTAL,Total,2017,2017,36545295,,
CAN,Canada,T,Total,TOTAL,Total,2018,2018,37065178,,
CAN,Canada,T,Total,TOTAL,Total,2019,2019,37593384,,
CAN,Canada,T,Total,TOTAL,Total,2020,2020,38005238,,
CZE,Czech Republic,T,Total,TOTAL,Total,2005,2005,10234092,,
CZE,Czech Republic,T,Total,TOTAL,Total,2006,2006,10266646,,
CZE,Czech Republic,T,Total,TOTAL,Total,2007,2007,10322689,,
CZE,Czech Republic,T,Total,TOTAL,Total,2008,2008,10429692,,
CZE,Czech Republic,T,Total,TOTAL,Total,2009,2009,10491492,,
CZE,Czech Republic,T,Total,TOTAL,Total,2010,2010,10517247,,
CZE,Czech Republic,T,Total,TOTAL,Total,2011,2011,10496672,,
CZE,Czech Republic,T,Total,TOTAL,Total,2012,2012,10509286,,
CZE,Czech Republic,T,Total,TOTAL,Total,2013,2013,10510719,,
CZE,Czech Republic,T,Total,TOTAL,Total,2014,2014,10524783,,
CZE,Czech Republic,T,Total,TOTAL,Total,2015,2015,10542942,,
CZE,Czech Republic,T,Total,TOTAL,Total,2016,2016,10565284,,
CZE,Czech Republic,T,Total,TOTAL,Total,2017,2017,10589526,,
CZE,Czech Republic,T,Total,TOTAL,Total,2018,2018,10626430,,
CZE,Czech Republic,T,Total,TOTAL,Total,2019,2019,10669324,,
CZE,Czech Republic,T,Total,TOTAL,Total,2020,2020,10700155,,
DNK,Denmark,T,Total,TOTAL,Total,2005,2005,5415978,,
DNK,Denmark,T,Total,TOTAL,Total,2006,2006,5434567,,
DNK,Denmark,T,Total,TOTAL,Total,2007,2007,5457415,,
DNK,Denmark,T,Total,TOTAL,Total,2008,2008,5489022,,
DNK,Denmark,T,Total,TOTAL,Total,2009,2009,5519441,,
DNK,Denmark,T,Total,TOTAL,Total,2010,2010,5543819,,
DNK,Denmark,T,Total,TOTAL,Total,2011,2011,5566856,,
DNK,Denmark,T,Total,TOTAL,Total,2012,2012,5587085,,
DNK,Denmark,T,Total,TOTAL,Total,2013,2013,5608784,,
DNK,Denmark,T,Total,TOTAL,Total,2014,2014,5639719,,
DNK,Denmark,T,Total,TOTAL,Total,2015,2015,5678348,,
